TipoLuminaria,ColorSuelo,AlturaLuminaria,FlujoLuminicoTotal,TCC,IluminanciaAbajo,Espectro,ReflectanciaSuelo,IluminanciaSuperior
Philips Coreline Malaga LED BRP102 LED55/740 II DM,gris claro,160.0,4600.0,4033.0,773.0,452.0,42.0,86.02
Philips Coreline Malaga LED BRP102 LED55/740 II DM,blanco,160.0,4600.0,4033.0,773.0,452.0,66.0,115.0
Philips Coreline Malaga LED BRP102 LED55/740 II DM,morado,160.0,4600.0,4033.0,773.0,452.0,4.0,67.95
Philips Coreline Malaga LED BRP102 LED55/740 II DM,rojo,160.0,4600.0,4033.0,773.0,452.0,10.0,64.57
Philips Coreline Malaga LED BRP102 LED55/740 II DM,verde claro,160.0,4600.0,4033.0,773.0,452.0,55.0,87.87
Philips Coreline Malaga LED BRP102 LED55/740 II DM,verde ,160.0,4600.0,4033.0,773.0,452.0,27.0,86.45
Philips Coreline Malaga LED BRP102 LED55/740 II DM,Verde oscuro,160.0,4600.0,4033.0,773.0,452.0,11.0,71.53
Philips Coreline Malaga LED BRP102 LED55/740 II DM,marrón claro,160.0,4600.0,4033.0,773.0,452.0,46.0,86.52
Philips Coreline Malaga LED BRP102 LED55/740 II DM,marrón oscuro,160.0,4600.0,4033.0,773.0,452.0,11.0,56.92
Philips Coreline Malaga LED BRP102 LED55/740 II DM,negro,160.0,4600.0,4033.0,773.0,452.0,4.0,65.48
Philips Coreline Malaga LED BRP102 LED55/740 II DM,gris oscuro,160.0,4600.0,4033.0,773.0,452.0,20.0,61.12
Philips Coreline Malaga LED BRP102 LED55/740 II DM,gris claro,160.0,4600.0,4033.0,773.0,452.0,42.0,83.98
Philips Coreline Malaga LED BRP102 LED55/740 II DM,blanco,160.0,4600.0,4033.0,773.0,452.0,66.0,110.5
Philips Coreline Malaga LED BRP102 LED55/740 II DM,morado,160.0,4600.0,4033.0,773.0,452.0,4.0,69.94
Philips Coreline Malaga LED BRP102 LED55/740 II DM,rojo,160.0,4600.0,4033.0,773.0,452.0,10.0,63.05
Philips Coreline Malaga LED BRP102 LED55/740 II DM,verde claro,160.0,4600.0,4033.0,773.0,452.0,55.0,93.19
Philips Coreline Malaga LED BRP102 LED55/740 II DM,verde ,160.0,4600.0,4033.0,773.0,452.0,27.0,86.61
Philips Coreline Malaga LED BRP102 LED55/740 II DM,Verde oscuro,160.0,4600.0,4033.0,773.0,452.0,11.0,69.08
Philips Coreline Malaga LED BRP102 LED55/740 II DM,marrón claro,160.0,4600.0,4033.0,773.0,452.0,46.0,86.72
